TransactionID,Date,ProductID,ProductName,Quantity,UnitPrice,CustomerID,Region,ProductCategory,TotalAmount
T018,2024-12-29,P107,USB Cable,8,173.0,C009,South,USB Cable,1384.0
T063,2024-12-07,P110,Laptop Charger,6,1916.0,C022,East,Charger,11496.0
T023,2024-12-09,P109,Wireless Mouse,9,523.0,C022,North,Wireless Mouse,4707.0
T059,2024-12-29,P102,MouseWireless,4,1056.0,C010,South,Mouse,4224.0
T035,2024-12-08,P102,Mouse,4,431.0,C011,North,Mouse,1724.0
T061,2024-12-10,P109,Wireless Mouse,2,775.0,C009,North,Wireless Mouse,1550.0
T057,2024-12-15,P101,LaptopPremium,10,81896.0,C004,North,Laptop,818960.0
T034,2024-12-22,P107,USB Cable,6,324.0,C029,West,USB Cable,1944.0
T050,2024-12-02,P104,MonitorLED,10,9997.0,C024,East,Monitor,99970.0
T024,2024-12-25,P109,Wireless Mouse,5,1812.0,C011,North,Wireless Mouse,9060.0
T004,2024-12-07,P109,Wireless Mouse,9,1359.0,C008,West,Wireless Mouse,12231.0
T068,2024-12-02,P109,Wireless Mouse,6,1692.0,C018,South,Wireless Mouse,10152.0
T066,2024-12-06,P105,Webcam,8,4259.0,C023,West,Webcam,34072.0
T064,2024-12-16,P109,Wireless Mouse,5,604.0,C003,West,Wireless Mouse,3020.0
T045,2024-12-26,P108,External Hard Drive,9,3802.0,C002,North,Hard Drive,34218.0
T015,2024-12-30,P105,Webcam,9,2899.0,C022,East,Webcam,26091.0
T055,2024-12-07,P105,WebcamHD,6,2977.0,C009,West,Webcam,17862.0
T002,2024-12-22,P102,Mouse,9,478.0,C019,West,Mouse,4302.0
T051,2024-12-02,P101,LaptopPremium,10,76246.0,C017,South,Laptop,762460.0
T005,2024-12-09,P110,Laptop Charger,1,3054.0,C026,South,Charger,3054.0
T007,2024-12-03,P102,Mouse,7,498.0,C012,East,Mouse,3486.0
T010,2024-12-07,P110,Laptop Charger,2,1593.0,C022,South,Charger,3186.0
T032,2024-12-22,P103,Keyboard,8,1476.0,C009,West,Keyboard,11808.0
T008,2024-12-09,P110,Laptop Charger,1,2994.0,C015,North,Charger,2994.0
T060,2024-12-27,P108,External Hard Drive1TB,9,8763.0,C010,North,Hard Drive,78867.0
T062,2024-12-24,P102,Mouse,9,618.0,C009,East,Mouse,5562.0
T003,2024-12-01,P101,Laptop,2,59328.0,C008,North,Laptop,118656.0
T022,2024-12-20,P107,USB Cable,2,297.0,C013,West,USB Cable,594.0
T046,2024-12-30,P102,MouseWireless,4,640.0,C014,West,Mouse,2560.0
T049,2024-12-22,P109,Wireless MouseGaming,8,817.0,C007,East,Wireless Mouse,6536.0
T006,2024-12-11,P107,USB Cable,5,179.0,C007,East,USB Cable,895.0
T011,2024-12-03,P105,Webcam,4,2413.0,C013,East,Webcam,9652.0
T031,2024-12-24,P102,Mouse,8,441.0,C025,South,Mouse,3528.0
T033,2024-12-30,P104,Monitor,9,14591.0,C023,East,Monitor,131319.0
T058,2024-12-07,P109,Wireless MouseGaming,9,1043.0,C005,East,Wireless Mouse,9387.0
T029,2024-12-11,P110,Laptop Charger,8,1539.0,C004,East,Charger,12312.0
T030,2024-12-08,P105,Webcam,1,2986.0,C029,North,Webcam,2986.0
T021,2024-12-25,P102,Mouse,1,524.0,C005,South,Mouse,524.0
T070,2024-12-07,P106,Headphones,4,6463.0,C004,East,Headphones,25852.0
T028,2024-12-25,P106,Headphones,3,5418.0,C025,North,Headphones,16254.0
T014,2024-12-24,P109,Wireless Mouse,4,834.0,C015,West,Wireless Mouse,3336.0
T019,2024-12-24,P104,Monitor,9,16609.0,C024,West,Monitor,149481.0
T054,2024-12-03,P110,Laptop Charger65W,7,2846.0,C019,East,Charger,19922.0
T001,2024-12-01,P102,Mouse,5,801.0,C008,South,Mouse,4005.0
